context_3,context_2,context_1,response
,,,"Добрый день, как называется курс?"
,,"Добрый день, как называется курс?","Требуется переименоваться всем прибывшим в соответствии с Регламентом - ""Имя Фамилия"""
,"Добрый день, как называется курс?","Требуется переименоваться всем прибывшим в соответствии с Регламентом - ""Имя Фамилия""","Прошу всех кто не проходил тестирование, пройти базовый курс Академии вендора. Если пройдете все курсы будет легче.
С первых занятий мы будем пользоваться: Пикс студия(лицензию будем запрашивать у вендора), Писк Мастер(доступ на учебный сервер предоставим отдельно), Процеесная студия (доступ на учебный сервер предоставим отдельно)."
,,,Вопросы пишите сюда.
,,Вопросы пишите сюда.,Всем доброго времени суток!
,,,"Добрый день!
Нужно записаться на курс? Или какой план действий?"
,,"Добрый день!
Нужно записаться на курс? Или какой план действий?","Нет записываться на сайте rpa2.ru  не нужно, все инструкции появляются здесь."
,,,"Курс стартует 3 июля все кто прошел добавляются в эту группу, Требуется переименоваться в соответствии с регламентом - ""Имя Фамилия"", указано в закрепе группы.
Проходим пока академию Пикс дальше, это повысит шансы на успешное прохождение курса."
,,,"Скажите пожалуйста, а когда вышлют договор?"
,,"Скажите пожалуйста, а когда вышлют договор?","Спасибо, что напомнили."
,,,"Сканы договора и паспорта нужно отправить своему наставнику, после распределения в группу.
Это подписывают все."
,,,"Скажите, пожалуйста, я - частное лицо. Что сюда заполнять?"
,,"Скажите, пожалуйста, я - частное лицо. Что сюда заполнять?",ФИО и подпись
,,,а тут просто оставить пусто?
,,а тут просто оставить пусто?,Номера договора даст Андрей Деревнин для каждого слушателя
,а тут просто оставить пусто?,Номера договора даст Андрей Деревнин для каждого слушателя,"Когда будут № договоров?
И кому потом их отправить?"
,,,"И еще в приложении 1 - желтые поля, но они для юридических лиц. Не заполнять?"
,,"И еще в приложении 1 - желтые поля, но они для юридических лиц. Не заполнять?","Заполнять нужно ФИО, соответственно без «в лице…» Как в шапке договора"
,,,"Друзья, может, кому-нибудь будет не трудно конвертировать документы в PDF и отправить сюда-же?"
,,"Друзья, может, кому-нибудь будет не трудно конвертировать документы в PDF и отправить сюда-же?","Не трудно. Только поясните, в чем смысл этого? Редактировать под себя легче docx, а потом готовое уже можно в pdf и с подписью. Я так думаю☝🏻"
,"Друзья, может, кому-нибудь будет не трудно конвертировать документы в PDF и отправить сюда-же?","Не трудно. Только поясните, в чем смысл этого? Редактировать под себя легче docx, а потом готовое уже можно в pdf и с подписью. Я так думаю☝🏻","С целью первоначального ознакомления, на мобильном устройстве, под управлением ОС Android."
,,,"Благодарю Вас.
Подскажите, пожалуйста, с кем лучше всего обсудить распределение в группы и уточнения по договору."
,,"Благодарю Вас.
Подскажите, пожалуйста, с кем лучше всего обсудить распределение в группы и уточнения по договору.",Сегодня к вечеру будет дана ссылка на таблицу где можно будет проставить свои пожелания по группе.
,,,Вопросы по договору сюда писать?
,,Вопросы по договору сюда писать?,Пишите сюда
,,,"Правильно я понимаю по договору минимум 99т я должен буду оплатить, но минимума по ЗП нет? Т.е могут и на 30т устроить"
,,"Правильно я понимаю по договору минимум 99т я должен буду оплатить, но минимума по ЗП нет? Т.е могут и на 30т устроить",Спасибо за вопрос
,,,"Предложений на рынке за 30тыс по RPA практически нет. Главное это ваша квалификация, возможности."
,,,Смысл верный. Но мы не участвуем в переговорах по размеру зп. Т е вы сами принимаете решение соглашаться или нет.
